# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:7:1
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#    None
# Spectrum
#   'NIST K411' standard for 'N132962' detector['NIST K411 std.msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
'NIST K411' standard for 'N132962' detector,O,8,15.999,0.47954,0.03051,0.45085,0.01575,0.62470,0.01492
'NIST K411' standard for 'N132962' detector,Mg,12,24.305,0.09129,0.00047,0.08583,0.00250,0.07828,0.00313
'NIST K411' standard for 'N132962' detector,Si,14,28.085,0.25971,0.00075,0.24417,0.00702,0.19273,0.00767
'NIST K411' standard for 'N132962' detector,Ca,20,40.078,0.11778,0.00010,0.11073,0.00318,0.06125,0.00243
'NIST K411' standard for 'N132962' detector,Fe,26,55.845,0.11532,0.00005,0.10842,0.00311,0.04304,0.00171
# Notes
#   Analytical total: 1.064 ± 0.031
#   Duane-Hunt: 20.03 keV
#   Residual written to NIST K411 std[residual].msa.
#   Plot output to 'NIST K411 std[quantify].pdf'
# Result Comparison
Name,O,Mg,Si,Ca,Fe,Σ
'NIST K411' standard for 'N132962' detector,0.480 ± 0.031,0.09129 ± 0.00047,0.25971 ± 0.00075,0.11778 ± 0.00010,0.115322 ± 0.000054,1.064 ± 0.031
Nominal,0.4236,0.0885,0.2538,0.1106,0.1121,1
RDEV (%),13.2,3.2,2.3,6.5,2.9,6.4
